Dim1,Dim2,Decision
-37.622864,24.921743,0
28.283146,-30.038021,2
-18.907259,-38.759155,2
6.0484624,39.040325,0
18.212118,-5.687356,1
-3.6411817,1.6920955,1
-7.514445,-19.572094,1
25.231968,40.571156,0
-35.40365,-23.013659,2
48.41113,-5.576726,2
8.894658,-20.77357,1
-35.002815,29.922844,0
0.71052516,23.603346,0
-17.140673,5.6142926,1
6.4628696,40.69606,0
-4.2256036,-5.918277,1
13.842695,-14.299899,1
-6.5565658,-21.201809,1
-14.260889,-43.116566,2
-1.359836,-24.525013,1
23.000443,42.950886,0
16.556335,46.672234,0
-4.426581,-49.527584,2
-11.479093,27.549982,0
-19.649368,36.778824,0
-11.552677,6.457272,1
40.752136,-15.516086,2
-23.695707,-33.57953,2
-1.0377952,-51.088326,2
-3.7587674,-49.850204,2
-4.770865,-49.35351,2
3.8843744,-24.07708,1
-39.38802,2.4464104,1
-5.3551884,4.1473193,1
4.934505,-23.625093,1
25.601408,40.12416,0
32.172375,29.590052,0
33.82559,-23.872953,2
-3.419822,-50.01287,2
24.078445,-34.48192,2
-28.163378,2.506712,1
-37.913563,-21.413303,2
-5.0035625,23.20812,0
-29.257946,-27.910137,2
-37.536343,25.428152,0
22.312857,-35.981804,2
-33.948116,31.462957,0
-7.023162,5.343084,1
-26.607908,37.46958,0
-15.120836,6.104396,1
-18.226933,-39.44281,2
-16.961452,5.666535,1
20.110516,45.15909,0
2.9697838,-24.368492,1
-7.8788958,-13.307857,1
5.440758,31.267624,0
-24.938562,37.829914,0
19.692068,0.65971583,1
-35.716248,-22.818375,2
-5.4717307,-8.226479,1
22.543064,-36.46108,2
19.382341,8.027724,1
-37.23608,26.061876,0
-18.681652,36.183964,0
36.925663,16.253529,0
31.65731,30.593622,0
37.33292,14.0404415,0
-38.0868,2.2803547,1
-31.663826,34.211086,0
53.075653,1.7062628,2
19.758684,1.7586085,1
-38.831566,2.3703902,1
-37.84876,24.392088,0
-21.458233,4.236815,1
-15.575072,-41.977875,2
44.921005,-10.307738,2
27.338743,37.798203,0
-29.399782,-27.780079,2
-4.9621873,-22.830538,1
-36.682358,27.08002,0
-28.704613,-28.426565,2
34.063442,25.476505,0
-3.1416311,22.916786,0
37.028683,-20.086836,2
-21.992867,4.068394,1
52.97864,1.5534561,2
35.306458,-22.130402,2
-2.731582,-50.316303,2
-8.255652,-15.712327,1
-33.394165,2.04305,1
36.443108,18.411232,0
2.062105,-52.364372,2
26.434118,39.052204,0
19.423449,45.552742,0
-4.9399576,-49.270695,2
25.350199,40.42482,0
-9.042031,-46.935013,2
-28.190388,36.816906,0
53.733482,2.8364027,2
-17.502209,35.257637,0
4.704794,28.134806,0
5.696598,35.435833,0
18.86016,-3.73356,1
-5.6763444,-22.202606,1
-14.553067,-42.865967,2
47.203693,-7.2758,2
19.56362,5.5313215,1
-4.3120036,-6.087325,1
-39.56742,2.4719088,1
-34.688847,30.390387,0
-22.67461,37.803978,0
43.614605,-11.960025,2
-6.8363676,-10.691961,1
-25.756588,-31.368435,2
-31.091204,-26.278889,2
34.9618,23.208275,0
